numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
5805	5804	engineer	21603	596	326	485	303	11.6863	2.776	3.8865	2.5145	Noun	562	0.95254	4.0678	3	66.14	8	0	1	high	high3	2	20	1	2	21	22	23	24	
19380	19379	woe	73330	119	86	76	56	2.3333	2.0792	1.0253	1.9395	Noun	117	1	3.371	1	6	3	11	1	low	low1	3	30	1	2	31	32	33	34	
18167	18166	translator	67375	115	77	106	71	2.2549	2.0645	0.91798	1.8921	Noun	114	1	3.3563	3	49.78	10	0	1	low	low3	4	40	1	2	41	42	43	44	
3502	3501	coin	12451	497	287	475	274	9.7451	2.6972	3.4216	2.4594	Noun	472	0.9497	3.9891	1	23	4	5	1	high	high1	1	10	1	2	11	12	13	14	
8371	8370	hoax	30653	123	82	122	82	2.4118	2.0934	0.97759	1.9191	Noun	119	0.96748	3.3853	1	17.67	4	1	1	low	low1	3	30	1	2	31	32	33	34	
12711	12710	pause	46758	275	205	240	186	5.3922	2.4409	2.444	2.3139	Noun	172	0.62545	3.7327	1	36.25	5	2	1	high	high1	1	10	1	2	11	12	13	14	
16785	16784	stash	62163	257	206	244	201	5.0392	2.4116	2.4559	2.316	Noun	167	0.64981	3.7035	1	40.75	5	2	1	high	high1	1	10	1	2	11	12	13	14	
3652	3651	companion	12939	323	247	302	239	6.3333	2.5105	2.9447	2.3945	Noun	324	1	3.8024	3	108	9	0	1	high	high3	2	20	1	2	21	22	23	24	
16984	16983	stream	62872	410	294	357	270	8.0392	2.6138	3.505	2.4698	Noun	382	0.93627	3.9057	1	46.4	6	2	1	high	high1	1	10	1	2	11	12	13	14	
8913	8912	infection	33109	446	296	433	294	8.7451	2.6503	3.5289	2.4728	Noun	445	1	3.9421	3	121.75	9	1	1	high	high3	2	20	1	2	21	22	23	24	
4505	4504	database	16282	290	227	284	224	5.6863	2.4639	2.7062	2.3579	Noun	290	1	3.7557	3	33.14	8	0	1	high	high3	2	20	1	2	21	22	23	24	
12719	12718	pawn	46784	221	136	201	129	4.3333	2.3464	1.6214	2.1367	Noun	145	0.65909	3.6382	1	20	4	7	1	low	low1	3	30	1	2	31	32	33	34	
5052	5051	disk	18767	338	128	332	128	6.6275	2.5302	1.526	2.1106	Noun	338	1	3.822	1	16.67	4	7	1	high	high1	1	10	1	2	11	12	13	14	
16020	16019	silk	59165	499	345	443	320	9.7843	2.699	4.113	2.5391	Noun	494	0.99197	3.9908	1	22	4	7	1	high	high1	1	10	1	2	11	12	13	14	
16706	16705	stag	61960	81	56	72	48	1.5882	1.9138	0.66762	1.7559	Noun	75	0.90361	3.2056	1	8.67	4	7	1	low	low1	3	30	1	2	31	32	33	34	
8609	8608	hull	31420	215	114	165	96	4.2157	2.3345	1.3591	2.0607	Noun	165	0.76744	3.6263	1	28	4	14	1	low	low1	3	30	1	2	31	32	33	34	
5774	5773	encounter	21435	284	251	276	246	5.5686	2.4548	2.9924	2.4014	Noun	187	0.65845	3.7467	3	79.88	9	0	1	high	high3	2	20	1	2	21	22	23	24	
15062	15061	rug	55846	531	354	495	346	10.4118	2.7259	4.2203	2.5502	Noun	531	1	4.0177	1	8	3	16	1	high	high1	1	10	1	2	11	12	13	14	
18762	18761	verge	71080	167	146	167	146	3.2745	2.2253	1.7406	2.1673	Noun	165	0.98802	3.5171	1	28.25	5	4	1	low	low1	3	30	1	2	31	32	33	34	
9577	9576	knot	35868	188	151	187	150	3.6863	2.2765	1.8002	2.1818	Noun	181	0.96277	3.5683	1	10.67	4	4	1	low	low1	3	30	1	2	31	32	33	34	
8152	8151	heap	29872	249	210	240	205	4.8824	2.3979	2.5036	2.3243	Noun	218	0.88259	3.6898	1	31.67	4	8	1	high	high1	1	10	1	2	11	12	13	14	
12336	12335	override	45566	263	114	244	108	5.1569	2.4216	1.3591	2.0607	Noun	174	0.64925	3.7134	3	60.29	8	1	1	high	high3	2	20	1	2	21	22	23	24	
4604	4603	decision	16614	2808	1810	2797	1807	55.0588	3.4486	21.5784	3.2579	Noun	2803	1	4.7404	3	82.86	8	1	1	high	high3	2	20	1	2	21	22	23	24	
2354	2353	burrito	8623	84	50	75	49	1.6471	1.9294	0.59609	1.7076	Noun	80	0.94118	3.2213	3	65.5	7	0	1	low	low3	4	40	1	2	41	42	43	44	
13851	13850	protocol	50818	382	265	360	258	7.4902	2.5832	3.1593	2.4249	Noun	382	1	3.875	3	49	8	0	1	high	high3	2	20	1	2	21	22	23	24	
3394	3393	cloud	12086	599	388	498	358	11.7451	2.7782	4.6257	2.5899	Noun	542	0.90484	4.07	1	30.5	5	2	1	high	high1	1	10	1	2	11	12	13	14	
18787	18786	vest	71158	284	203	280	199	5.5686	2.4548	2.4201	2.3096	Noun	284	1	3.7467	1	21.33	4	11	1	high	high1	1	10	1	2	11	12	13	14	
5896	5895	equipment	22061	1298	849	1270	831	25.451	3.1136	10.1216	2.9294	Noun	1296	1	4.4054	3	42.25	9	0	1	high	high3	2	20	1	2	21	22	23	24	
16030	16029	silverware	59196	109	86	105	84	2.1373	2.0414	1.0253	1.9395	Noun	107	0.98165	3.3332	3	28.33	10	0	1	low	low3	4	40	1	2	41	42	43	44	
16742	16741	stance	62056	96	73	93	73	1.8824	1.9868	0.87029	1.8692	Noun	95	1	3.2786	1	55	6	1	1	low	low1	3	30	1	2	31	32	33	34	
17532	17531	tart	65061	122	93	96	79	2.3922	2.0899	1.1087	1.9731	Noun	107	0.86992	3.3817	1	33	4	12	1	low	low1	3	30	1	2	31	32	33	34	
11712	11711	nest	42986	566	367	514	343	11.098	2.7536	4.3753	2.5658	Noun	541	0.96263	4.0454	1	21	4	13	1	high	high1	1	10	1	2	11	12	13	14	
13839	13838	protector	50788	149	99	115	88	2.9216	2.1761	1.1803	2	Noun	145	0.97973	3.4679	3	60.75	9	1	1	low	low3	4	40	1	2	41	42	43	44	
11015	11014	militia	40569	115	47	101	44	2.2549	2.0645	0.56032	1.6812	Noun	115	1	3.3563	3	35.17	7	0	1	low	low3	4	40	1	2	41	42	43	44	
14674	14673	resident	54363	374	242	285	207	7.3333	2.574	2.8851	2.3856	Noun	252	0.6738	3.8659	3	84	8	0	1	high	high3	2	20	1	2	21	22	23	24	
4726	4725	dent	17272	180	125	131	112	3.5294	2.2577	1.4902	2.1004	Noun	149	0.82778	3.5495	1	24	4	14	1	low	low1	3	30	1	2	31	32	33	34	
10600	10599	mare	39115	148	85	113	65	2.902	2.1732	1.0134	1.9345	Noun	110	0.7483	3.465	1	43.67	4	22	1	low	low1	3	30	1	2	31	32	33	34	
13943	13942	pun	51222	94	85	82	75	1.8431	1.9777	1.0134	1.9345	Noun	86	0.92473	3.2696	1	7.5	3	16	1	low	low1	3	30	1	2	31	32	33	34	
15190	15189	saliva	56242	135	92	122	86	2.6471	2.1335	1.0968	1.9685	Noun	135	1	3.4254	3	39	6	0	1	low	low3	4	40	1	2	41	42	43	44	
