orderID,run,list,numID,cond,file_num,Word,Zipfvalue,cmu_sylls,BF_TP,LEN_L,reason_for_change,cond_code,trigger_code,len,corr_resp,fix_code,word_code,delay_code,audioresp_code,jittered_ISI,total_time,OLD_file_num
1,run1,1,89,low3,list1_89_adjustment_low3,adjustment,3.4932,3,43.33,10,,4,40,1,2,41,42,43,44,3350,11350,list1_89_adjustment_low3
2,run1,1,10146,low3,list1_10146_livelihood_low3,livelihood,3.1783,3,21.56,10,,4,40,1,2,41,42,43,44,3500,11500,list1_10146_livelihood_low3
3,run1,1,1898,high1,list1_1898_boost_high1,boost,3.6554,1,40,5,,1,10,1,2,11,12,13,14,3400,11400,list1_1898_boost_high1
4,run1,1,16540,high1,list1_16540_speed_high1,speed,4.6151,1,73.25,5,,1,10,1,2,11,12,13,14,3500,11500,list1_16540_speed_high1
5,run1,1,8213,low3,list1_8213_helium_low3,helium,3.1611,3,34.4,6,,4,40,1,2,41,42,43,44,3300,11300,list1_8213_helium_low3
6,run1,1,6095,low3,list1_6095_expansion_low3,expansion,3.2412,3,78.5,9,,4,40,1,2,41,42,43,44,3350,11350,list1_6095_expansion_low3
7,run1,1,13319,high3,list1_13319_poetry_high3,poetry,4.1263,3,28.4,6,,2,20,1,2,21,22,23,24,3250,11250,list1_13319_poetry_high3
8,run1,1,7176,low1,list1_7176_gap_low1,gap,3.6323,1,9,3,,3,30,1,2,31,32,33,34,3250,11250,list1_7176_gap_low1
9,run1,1,4131,low3,list1_4131_creator_low3,creator,3.4472,3,59.5,7,,4,40,1,2,41,42,43,44,3400,11400,list1_4131_creator_low3
10,run1,1,8540,high1,list1_8540_host_high1,host,4.1766,1,28.33,4,,1,10,1,2,11,12,13,14,3300,11300,list1_8540_host_high1
11,run1,1,19418,low1,list1_19418_wool_low1,wool,3.5013,1,25.33,4,,3,30,1,2,31,32,33,34,3450,11450,list1_19418_wool_low1
12,run1,1,2051,low3,list1_2051_precision_low3,precision,3.470811089,3,92.5,9,2 syllable word,4,40,1,2,41,42,43,44,3400,11400,list1_2051_bravery_low3
13,run1,1,18715,high3,list1_18715_vegetable_high3,vegetable,3.7572,3,45.13,9,,2,20,1,2,21,22,23,24,3500,11500,list1_18715_vegetable_high3
14,run1,1,904,high3,list1_904_audition_high3,audition,4.1406,3,85.71,8,,2,20,1,2,21,22,23,24,3450,11450,list1_904_audition_high3
15,run1,1,9263,high1,list1_9263_jet_high1,jet,4.1504,1,6.5,3,,1,10,1,2,11,12,13,14,3400,11400,list1_9263_jet_high1
16,run1,1,14360,low3,list1_14360_reasoning_low3,reasoning,3.265,3,234.13,9,,4,40,1,2,41,42,43,44,3500,11500,list1_14360_reasoning_low3
17,run1,1,7557,high1,list1_7557_gown_high1,gown,3.8169,1,14.33,4,,1,10,1,2,11,12,13,14,3250,11250,list1_7557_gown_high1
18,run1,1,12191,low1,list1_12191_ore_low1,ore,3.2213,1,3,3,,3,30,1,2,31,32,33,34,3400,11400,list1_12191_ore_low1
19,run1,1,15203,high3,list1_15203_salvation_high3,salvation,3.7018,3,106.88,9,,2,20,1,2,21,22,23,24,3200,11200,list1_15203_salvation_high3
20,run1,1,10176,low1,list1_10176_lobe_low1,lobe,3.2741,1,16.67,4,,3,30,1,2,31,32,33,34,3500,11500,list1_10176_lobe_low1
21,run1,1,9240,high3,list1_9240_jealousy_high3,jealousy,3.7602,3,32.57,8,,2,20,1,2,21,22,23,24,3350,11350,list1_9240_jealousy_high3
22,run1,1,3394,high1,list1_3394_cloud_high1,cloud,4.07,1,30.5,5,,1,10,1,2,11,12,13,14,3250,11250,list1_3394_cloud_high1
23,run1,1,8785,low3,list1_8785_immigrant_low3,immigrant,3.1949,3,51.75,9,,4,40,1,2,41,42,43,44,3300,11300,list1_8785_immigrant_low3
24,run1,1,5386,low1,list1_5386_drone_low1,drone,3.4532,1,41,5,,3,30,1,2,31,32,33,34,3350,11350,list1_5386_drone_low1
25,run1,1,16962,low1,list1_16962_strand_low1,strand,3.2696,1,51.8,6,,3,30,1,2,31,32,33,34,3400,11400,list1_16962_strand_low1
26,run1,1,4076,high1,list1_4076_crab_high1,crab,3.8396,1,14.67,4,,1,10,1,2,11,12,13,14,3450,11450,list1_4076_crab_high1
27,run1,1,6126,high3,list1_6126_exposure_high3,exposure,3.7572,3,29.71,8,,2,20,1,2,21,22,23,24,3250,11250,list1_6126_exposure_high3
28,run1,1,14254,high1,list1_14254_range_high1,range,4.357,1,45.75,5,,1,10,1,2,11,12,13,14,3250,11250,list1_14254_range_high1
29,run1,1,17248,low3,list1_17248_supplier_low3,supplier,3.2918,3,93.71,8,,4,40,1,2,41,42,43,44,3200,11200,list1_17248_supplier_low3
30,run1,1,2788,high3,list1_2788_casino_high3,casino,4.3089,3,88.2,6,,2,20,1,2,21,22,23,24,3350,11350,list1_2788_casino_high3
31,run1,1,1351,high1,list1_1351_beard_high1,beard,4.1007,1,50.5,5,,1,10,1,2,11,12,13,14,3400,11400,list1_1351_beard_high1
32,run1,1,18936,low1,list1_18936_void_low1,void,3.6141,1,9,4,,3,30,1,2,31,32,33,34,3450,11450,list1_18936_void_low1
33,run1,1,13488,high1,list1_13488_post_high1,post,4.5106,1,30.33,4,,1,10,1,2,11,12,13,14,3500,11500,list1_13488_post_high1
34,run1,1,13092,low1,list1_13092_ping_low1,ping,3.5197,1,33,4,,3,30,1,2,31,32,33,34,3350,11350,list1_13092_ping_low1
35,run1,1,17662,low3,list1_17662_tendency_low3,tendency,3.4348,3,55.57,8,,4,40,1,2,41,42,43,44,3400,11400,list1_17662_tendency_low3
36,run1,1,10807,high3,list1_10807_medium_high3,medium,3.8517,3,27.2,6,,2,20,1,2,21,22,23,24,3400,11400,list1_10807_medium_high3
37,run1,1,8689,low1,list1_8689_hype_low1,hype,3.2161,1,6.67,4,,3,30,1,2,31,32,33,34,3250,11250,list1_8689_hype_low1
38,run1,1,4031,high3,list1_4031_courtesy_high3,courtesy,3.9099,3,89.43,8,,2,20,1,2,21,22,23,24,3400,11400,list1_4031_courtesy_high3
39,run1,1,6457,low1,list1_6457_fiend_low1,fiend,3.4502,1,22,5,,3,30,1,2,31,32,33,34,3400,11400,list1_6457_fiend_low1
40,run1,1,12629,high3,list1_12629_passenger_high3,passenger,4.0322,3,59,9,,2,20,1,2,21,22,23,24,3400,11400,list1_12629_passenger_high3
41,run2,1,12585,low3,list1_12585_parliament_low3,parliament,3.3525,3,49.78,10,,4,40,1,2,41,42,43,44,3250,11250,list1_12585_parliament_low3
42,run2,1,18532,low3,list1_18532_underworld_low3,underworld,3.5519,3,47.11,10,negative connotation,4,40,1,2,41,42,43,44,3200,11200,list1_18532_underworld_low3
43,run2,1,15190,low3,list1_15190_saliva_low3,saliva,3.4254,3,39,6,,4,40,1,2,41,42,43,44,3400,11400,list1_15190_saliva_low3
44,run2,1,15931,low1,list1_15931_shred_low1,shred,3.4708,1,76.75,5,,3,30,1,2,31,32,33,34,3200,11200,list1_15931_shred_low1
45,run2,1,384,low3,list1_384_amnesia_low3,amnesia,3.5706,3,14,7,,4,40,1,2,41,42,43,44,3300,11300,list1_384_amnesia_low3
46,run2,1,9977,high3,list1_9977_library_high3,library,4.3604,3,42,7,,2,20,1,2,21,22,23,24,3400,11400,list1_9977_library_high3
47,run2,1,7896,low3,list1_7896_habitat_low3,habitat,3.3525,3,28.5,7,,4,40,1,2,41,42,43,44,3450,11450,list1_7896_habitat_low3
48,run2,1,12468,high1,list1_12468_pan_high1,pan,4.0898,1,9,3,,1,10,1,2,11,12,13,14,3350,11350,list1_12468_pan_high1
49,run2,1,16958,high1,list1_16958_strain_high1,strain,3.8505,1,50.4,6,,1,10,1,2,11,12,13,14,3300,11300,list1_16958_strain_high1
50,run2,1,14898,high1,list1_14898_road_high1,road,5.0485,1,22,4,,1,10,1,2,11,12,13,14,3450,11450,list1_14898_road_high1
51,run2,1,7670,high1,list1_7670_grid_high1,grid,3.7436,1,14.67,4,,1,10,1,2,11,12,13,14,3350,11350,list1_7670_grid_high1
52,run2,1,17013,high1,list1_17013_string_high1,string,4.1027,1,128.2,6,,1,10,1,2,11,12,13,14,3250,11250,list1_17013_string_high1
53,run2,1,10839,low3,list1_10839_membership_low3,membership,3.5119,3,30.44,10,,4,40,1,2,41,42,43,44,3400,11400,list1_10839_membership_low3
54,run2,1,14671,high3,list1_14671_residence_high3,residence,3.9171,3,79.38,9,,2,20,1,2,21,22,23,24,3350,11350,list1_14671_residence_high3
55,run2,1,15062,high1,list1_15062_rug_high1,rug,4.0177,1,8,3,,1,10,1,2,11,12,13,14,3500,11500,list1_15062_rug_high1
56,run2,1,7210,high3,list1_7210_gasoline_high3,gasoline,3.8156,3,178.86,8,"move this or ""gas"" to another list",2,20,1,2,21,22,23,24,3350,11350,list1_7210_gasoline_high3
57,run2,1,9867,high3,list1_9867_legacy_high3,legacy,3.7018,3,20.4,6,,2,20,1,2,21,22,23,24,3300,11300,list1_9867_legacy_high3
58,run2,1,18362,low1,list1_18362_tug_low1,tug,3.4411,1,6.5,3,,3,30,1,2,31,32,33,34,3500,11500,list1_18362_tug_low1
59,run2,1,13838,high3,list1_13838_protection_high3,protection,4.3703,3,145.78,10,,2,20,1,2,21,22,23,24,3500,11500,list1_13838_protection_high3
60,run2,1,2237,low1,list1_2237_buff_low1,buff,3.399,1,13.33,4,,3,30,1,2,31,32,33,34,3200,11200,list1_2237_buff_low1
61,run2,1,663,high3,list1_663_architect_high3,architect,3.8169,3,24.13,9,,2,20,1,2,21,22,23,24,3500,11500,list1_663_architect_high3
62,run2,1,16526,low1,list1_16526_speck_low1,speck,3.2741,1,30.75,5,,3,30,1,2,31,32,33,34,3350,11350,list1_16526_speck_low1
63,run2,1,948,low3,list1_948_avalanche_low3,avalanche,3.5324,3,23.5,9,,4,40,1,2,41,42,43,44,3250,11250,list1_948_avalanche_low3
64,run2,1,13175,low1,list1_13175_plaid_low1,plaid,3.2109,1,35.5,5,,3,30,1,2,31,32,33,34,3200,11200,list1_13175_plaid_low1
65,run2,1,16557,low1,list1_16557_sphere_low1,sphere,3.3956,1,50.4,6,,3,30,1,2,31,32,33,34,3450,11450,list1_16557_sphere_low1
66,run2,1,14052,low1,list1_14052_quake_low1,quake,3.2109,1,16.25,5,,3,30,1,2,31,32,33,34,3350,11350,list1_14052_quake_low1
67,run2,1,6069,high3,list1_6069_exercise_high3,exercise,4.2485,3,54.86,8,,2,20,1,2,21,22,23,24,3350,11350,list1_6069_exercise_high3
68,run2,1,2053,low1,list1_2053_brawl_low1,brawl,3.3293,1,34.5,5,,3,30,1,2,31,32,33,34,3300,11300,list1_2053_brawl_low1
69,run2,1,12533,high3,list1_12533_paradise_high3,paradise,4.1224,3,80.14,8,,2,20,1,2,21,22,23,24,3400,11400,list1_12533_paradise_high3
70,run2,1,8769,low3,list1_8769_imagery_low3,imagery,3.1669,3,84.5,7,,4,40,1,2,41,42,43,44,3350,11350,list1_8769_imagery_low3
71,run2,1,12796,low3,list1_12796_pelican_low3,pelican,3.2461,3,44.17,7,,4,40,1,2,41,42,43,44,3500,11500,list1_12796_pelican_low3
72,run2,1,14124,high1,list1_14124_quiz_high1,quiz,3.695,1,4.33,4,"move this or ""quarantine"" to another list",1,10,1,2,11,12,13,14,3200,11200,list5_14124_quiz_high1
73,run2,1,10087,high1,list1_10087_link_high1,link,4.0772,1,34,4,,1,10,1,2,11,12,13,14,3250,11250,list1_10087_link_high1
74,run2,1,11005,high1,list1_11005_mile_high1,mile,4.322,1,29.67,4,,1,10,1,2,11,12,13,14,3500,11500,list1_11005_mile_high1
75,run2,1,7199,high3,list1_7199_garrison_high3,garrison,3.661,3,61.29,8,,2,20,1,2,21,22,23,24,3300,11300,list1_7199_garrison_high3
76,run2,1,16547,high1,list1_16547_spell_high1,spell,4.5637,1,29.25,5,,1,10,1,2,11,12,13,14,3250,11250,list1_16547_spell_high1
77,run2,1,12788,low1,list1_12788_peep_low1,peep,3.6479,1,25,4,,3,30,1,2,31,32,33,34,3300,11300,list1_12788_peep_low1
78,run2,1,15000,low3,list1_15000_rotation_low3,rotation,3.4679,3,89.14,8,,4,40,1,2,41,42,43,44,3450,11450,list1_15000_rotation_low3
79,run2,1,16609,low1,list1_16609_spook_low1,spook,3.4411,1,26,5,,3,30,1,2,31,32,33,34,3200,11200,list1_16609_spook_low1
80,run2,1,6411,high3,list1_6411_festival_high3,festival,3.996,3,61.29,8,,2,20,1,2,21,22,23,24,3200,11200,list1_6411_festival_high3
81,run3,1,809,high3,list1_809_assistance_high3,assistance,4.0392,3,47.44,10,,2,20,1,2,21,22,23,24,3450,11450,list1_809_assistance_high3
82,run3,1,17590,low3,list1_17590_technician_low3,technician,3.4157,3,26.44,10,,4,40,1,2,41,42,43,44,3350,11350,list1_17590_technician_low3
83,run3,1,16315,low1,list1_16315_snitch_low1,snitch,3.5013,1,24.2,6,,3,30,1,2,31,32,33,34,3400,11400,list1_16315_snitch_low1
84,run3,1,7397,low1,list1_7397_glare_low1,glare,3.2109,1,44.75,5,,3,30,1,2,31,32,33,34,3200,11200,list1_7397_glare_low1
85,run3,1,5704,high3,list1_5704_embassy_high3,embassy,3.8917,3,12,7,,2,20,1,2,21,22,23,24,3200,11200,list1_5704_embassy_high3
86,run3,1,3633,low3,list1_3633_commodore_low3,commodore,3.559,3,65,9,,4,40,1,2,41,42,43,44,3200,11200,list1_3633_commodore_low3
87,run3,1,1090,high3,list1_1090_balcony_high3,balcony,3.8647,3,45.33,7,,2,20,1,2,21,22,23,24,3500,11500,list1_1090_balcony_high3
88,run3,1,653,low1,list1_653_arch_low1,arch,3.5683,1,7.33,4,,3,30,1,2,31,32,33,34,3500,11500,list1_653_arch_low1
89,run3,1,18678,low3,list1_18678_vanity_low3,vanity,3.6161,3,53.6,6,,4,40,1,2,41,42,43,44,3350,11350,list1_18678_vanity_low3
90,run3,1,6777,high1,list1_6777_folk_high1,folk,3.8553,1,22.33,4,,1,10,1,2,11,12,13,14,3250,11250,list1_6777_folk_high1
91,run3,1,13270,high1,list1_13270_plot_high1,plot,4.0642,1,17.67,4,,1,10,1,2,11,12,13,14,3400,11400,list1_13270_plot_high1
92,run3,1,14534,low3,list1_14534_relation_low3,relation,3.6161,3,122.86,8,,4,40,1,2,41,42,43,44,3250,11250,list1_14534_relation_low3
93,run3,1,277,low3,list1_277_allegiance_low3,allegiance,3.496,3,36.33,10,,4,40,1,2,41,42,43,44,3400,11400,list1_277_allegiance_low3
94,run3,1,145,low3,list1_145_aggression_low3,aggression,3.4502,3,88.22,10,,4,40,1,2,41,42,43,44,3500,11500,list1_145_aggression_low3
95,run3,1,166,high1,list1_166_aid_high1,aid,4.1431,1,6,3,,1,10,1,2,11,12,13,14,3500,11500,list1_166_aid_high1
96,run3,1,3845,high3,list1_3845_conviction_high3,conviction,3.7747,3,157.33,10,,2,20,1,2,21,22,23,24,3300,11300,list1_3845_conviction_high3
97,run3,1,16675,low1,list1_16675_squat_low1,squat,3.4987,1,7.25,5,,3,30,1,2,31,32,33,34,3400,11400,list1_16675_squat_low1
98,run3,1,9503,low1,list1_9503_kin_low1,kin,3.6323,1,7.5,3,,3,30,1,2,31,32,33,34,3200,11200,list1_9503_kin_low1
99,run3,1,5035,high3,list1_5035_discussion_high3,discussion,4.0842,3,101.89,10,,2,20,1,2,21,22,23,24,3200,11200,list1_5035_discussion_high3
100,run3,1,8203,high1,list1_8203_heir_high1,heir,3.7183,1,11.67,4,,1,10,1,2,11,12,13,14,3450,11450,list1_8203_heir_high1
101,run3,1,12951,low3,list1_12951_pharmacy_low3,pharmacy,3.5373,3,32.14,8,,4,40,1,2,41,42,43,44,3450,11450,list1_12951_pharmacy_low3
102,run3,1,18709,low1,list1_18709_veal_low1,veal,3.5519,1,30.67,4,,3,30,1,2,31,32,33,34,3250,11250,list1_18709_veal_low1
103,run3,1,9037,high3,list1_9037_instructor_high3,instructor,3.6739,3,49.11,10,,2,20,1,2,21,22,23,24,3400,11400,list1_9037_instructor_high3
104,run3,1,3226,low1,list1_3226_chute_low1,chute,3.559,1,27.75,5,,3,30,1,2,31,32,33,34,3500,11500,list1_3226_chute_low1
105,run3,1,9821,high1,list1_9821_league_high1,league,4.27,1,38.2,6,,1,10,1,2,11,12,13,14,3450,11450,list1_9821_league_high1
106,run3,1,12399,low1,list1_12399_pact_low1,pact,3.5774,1,20.67,4,,3,30,1,2,31,32,33,34,3400,11400,list1_12399_pact_low1
107,run3,1,16524,high3,list1_16524_specimen_high3,specimen,3.6774,3,38.86,8,,2,20,1,2,21,22,23,24,3400,11400,list1_16524_specimen_high3
108,run3,1,4627,high1,list1_4627_deed_high1,deed,3.9694,1,32.67,4,,1,10,1,2,11,12,13,14,3400,11400,list1_4627_deed_high1
109,run3,1,4820,low3,list1_4820_detector_low3,detector,3.5146,3,52.57,8,,4,40,1,2,41,42,43,44,3500,11500,list1_4820_detector_low3
110,run3,1,16699,high3,list1_16699_stadium_high3,stadium,3.7874,3,55.5,7,,2,20,1,2,21,22,23,24,3300,11300,list1_16699_stadium_high3
111,run3,1,3469,high3,list1_3469_coconut_high3,coconut,3.6629,3,46.67,7,,2,20,1,2,21,22,23,24,3400,11400,list1_3469_coconut_high3
112,run3,1,9231,high1,list1_9231_jaw_high1,jaw,3.8541,1,7,3,,1,10,1,2,11,12,13,14,3200,11200,list1_9231_jaw_high1
113,run3,1,14288,high1,list1_14288_rash_high1,rash,3.9057,1,29,4,,1,10,1,2,11,12,13,14,3300,11300,list1_14288_rash_high1
114,run3,1,16921,low1,list1_16921_stool_low1,stool,3.5471,1,34,5,,3,30,1,2,31,32,33,34,3200,11200,list1_16921_stool_low1
115,run3,1,9100,low3,list1_9100_intruder_low3,intruder,3.5637,3,73,8,,4,40,1,2,41,42,43,44,3200,11200,list1_9100_intruder_low3
116,run3,1,16635,high1,list1_16635_spray_high1,spray,3.9847,1,23.25,5,,1,10,1,2,11,12,13,14,3450,11450,list1_16635_spray_high1
117,run3,1,18454,high1,list1_18454_twin_high1,twin,4.0186,1,10.33,4,,1,10,1,2,11,12,13,14,3400,11400,list1_18454_twin_high1
118,run3,1,14064,low3,list1_14064_quantity_low3,quantity,3.2741,3,91,8,,4,40,1,2,41,42,43,44,3400,11400,list1_14064_quantity_low3
119,run3,1,19159,low1,list1_19159_wedge_low1,wedge,3.371,1,21.5,5,,3,30,1,2,31,32,33,34,3350,11350,list1_19159_wedge_low1
120,run3,1,14701,high3,list1_14701_restaurant_high3,restaurant,4.6673,3,63,10,,2,20,1,2,21,22,23,24,3300,11300,list1_14701_restaurant_high3
121,run4,1,4738,high3,list1_4738_department_high3,department,4.8047,3,56.44,10,,2,20,1,2,21,22,23,24,3200,11200,list1_4738_department_high3
122,run4,1,2549,low3,list1_2549_camouflage_low3,camouflage,3.2696,3,17.56,10,,4,40,1,2,41,42,43,44,3300,11300,list1_2549_camouflage_low3
123,run4,1,15823,high1,list1_15823_shield_high1,shield,3.914,1,42.2,6,,1,10,1,2,11,12,13,14,3200,11200,list1_15823_shield_high1
124,run4,1,18178,high1,list1_18178_trash_high1,trash,4.3514,1,47,5,,1,10,1,2,11,12,13,14,3400,11400,list1_18178_trash_high1
125,run4,1,14877,high1,list1_14877_risk_high1,risk,4.6901,1,16.33,4,,1,10,1,2,11,12,13,14,3300,11300,list1_14877_risk_high1
126,run4,1,14677,low3,list1_14677_residue_low3,residue,3.4411,3,54,7,,4,40,1,2,41,42,43,44,3300,11300,list1_14677_residue_low3
127,run4,1,10551,low3,list1_10551_manicure_low3,manicure,3.3004,3,50.14,8,,4,40,1,2,41,42,43,44,3250,11250,list1_10551_manicure_low3
128,run4,1,16862,high1,list1_16862_stew_high1,stew,3.809,1,10.33,4,,1,10,1,2,11,12,13,14,3350,11350,list1_16862_stew_high1
129,run4,1,12748,high1,list1_12748_peach_high1,peach,3.8037,1,52.5,5,,1,10,1,2,11,12,13,14,3300,11300,list1_12748_peach_high1
130,run4,1,9616,low1,list1_9616_lace_low1,lace,3.5706,1,23.33,4,,3,30,1,2,31,32,33,34,3200,11200,list1_9616_lace_low1
131,run4,1,11525,low1,list1_11525_muse_low1,muse,3.2875,1,19.33,4,,3,30,1,2,31,32,33,34,3250,11250,list1_11525_muse_low1
132,run4,1,1241,low3,list1_1241_barrier_low3,barrier,3.5324,3,147.17,7,,4,40,1,2,41,42,43,44,3200,11200,list1_1241_barrier_low3
133,run4,1,16518,high3,list1_16518_specialist_high3,specialist,3.7151,3,41.11,10,,2,20,1,2,21,22,23,24,3350,11350,list1_16518_specialist_high3
134,run4,1,6140,low3,list1_6140_extortion_low3,extortion,3.4124,3,108.38,9,,4,40,1,2,41,42,43,44,3300,11300,list1_6140_extortion_low3
135,run4,1,9346,low1,list1_9346_jug_low1,jug,3.4222,1,6,3,,3,30,1,2,31,32,33,34,3250,11250,list1_9346_jug_low1
136,run4,1,14431,low3,list1_14431_redemption_low3,redemption,3.3449,3,129.33,10,,4,40,1,2,41,42,43,44,3500,11500,list1_14431_redemption_low3
137,run4,1,10342,low1,list1_10342_lump_low1,lump,3.5519,1,13.67,4,,3,30,1,2,31,32,33,34,3400,11400,list1_10342_lump_low1
138,run4,1,19367,high1,list1_19367_wit_high1,wit,3.7733,1,6.5,3,,1,10,1,2,11,12,13,14,3400,11400,list1_19367_wit_high1
139,run4,1,3627,high3,list1_3627_commitment_high3,commitment,4.033,3,76.56,10,,2,20,1,2,21,22,23,24,3500,11500,list1_3627_commitment_high3
140,run4,1,1760,low1,list1_1760_blur_low1,blur,3.3332,1,12.33,4,,3,30,1,2,31,32,33,34,3400,11400,list1_1760_blur_low1
141,run4,1,1420,high3,list1_1420_behaviour_high3,behaviour,4.3499,3,31,8,,2,20,1,2,21,22,23,24,3250,11250,list1_1420_behaviour_high3
142,run4,1,3264,high3,list1_3264_citizen_high3,citizen,4.125,3,28.83,7,,2,20,1,2,21,22,23,24,3500,11500,list1_3264_citizen_high3
143,run4,1,13732,high3,list1_13732_procedure_high3,procedure,4.2078,3,44.88,9,,2,20,1,2,21,22,23,24,3500,11500,list1_13732_procedure_high3
144,run4,1,7432,low1,list1_7432_gloss_low1,gloss,3.1669,1,29.5,5,,3,30,1,2,31,32,33,34,3300,11300,list1_7432_gloss_low1
145,run4,1,4252,high1,list1_4252_cruise_high1,cruise,4.0891,1,44.2,6,,1,10,1,2,11,12,13,14,3250,11250,list1_4252_cruise_high1
146,run4,1,7463,high1,list1_7463_goat_high1,goat,4.0226,1,20.67,4,,1,10,1,2,11,12,13,14,3200,11200,list1_7463_goat_high1
147,run4,1,15442,low3,list1_15442_scorpion_low3,scorpion,3.4286,3,52.43,8,,4,40,1,2,41,42,43,44,3450,11450,list1_15442_scorpion_low3
148,run4,1,16638,low1,list1_16638_spree_low1,spree,3.3332,1,31.5,5,,3,30,1,2,31,32,33,34,3200,11200,list1_16638_spree_low1
149,run4,1,13694,high3,list1_13694_principle_high3,principle,3.8895,3,48.88,9,,2,20,1,2,21,22,23,24,3350,11350,list1_13694_principle_high3
150,run4,1,18365,low3,list1_18365_tuition_low3,tuition,3.6078,3,68.17,7,,4,40,1,2,41,42,43,44,3200,11200,list1_18365_tuition_low3
151,run4,1,9216,high3,list1_9216_janitor_high3,janitor,3.7587,3,39,7,,2,20,1,2,21,22,23,24,3200,11200,list1_9216_janitor_high3
152,run4,1,7078,high1,list1_7078_fur_high1,fur,3.9182,1,3,3,,1,10,1,2,11,12,13,14,3400,11400,list1_7078_fur_high1
153,run4,1,8487,low1,list1_8487_hoop_low1,hoop,3.4317,1,30.33,4,,3,30,1,2,31,32,33,34,3200,11200,list1_8487_hoop_low1
154,run4,1,19033,low1,list1_19033_wand_low1,wand,3.4905,1,34,4,,3,30,1,2,31,32,33,34,3250,11250,list1_19033_wand_low1
155,run4,1,8009,low3,list1_8009_hangover_low3,hangover,3.5929,3,66.86,8,negative connotation,4,40,1,2,41,42,43,44,3300,11300,list1_8009_hangover_low3
156,run4,1,5608,high3,list1_5608_editor_high3,editor,4.0939,3,23.4,6,,2,20,1,2,21,22,23,24,3350,11350,list1_5608_editor_high3
157,run4,1,11587,high1,list1_11587_myth_high1,myth,3.8396,1,4.67,4,,1,10,1,2,11,12,13,14,3400,11400,list1_11587_myth_high1
158,run4,1,14674,high3,list1_14674_resident_high3,resident,3.8659,3,84,8,,2,20,1,2,21,22,23,24,3450,11450,list1_14674_resident_high3
159,run4,1,16510,low1,list1_16510_spawn_low1,spawn,3.265,1,23.75,5,,3,30,1,2,31,32,33,34,3400,11400,list1_16510_spawn_low1
160,run4,1,9118,low3,list1_9118_inventor_low3,inventor,3.3637,3,61.57,8,,4,40,1,2,41,42,43,44,3500,11500,list1_9118_inventor_low3
161,run5,1,12899,low3,list1_12899_persuasion_low3,persuasion,3.2962,3,84.33,10,,4,40,1,2,41,42,43,44,3450,11450,list1_12899_persuasion_low3
162,run5,1,9321,high3,list1_9321_journalist_high3,journalist,3.786,3,41,10,,2,20,1,2,21,22,23,24,3400,11400,list1_9321_journalist_high3
163,run5,1,7325,low3,list1_7325_getaway_low3,getaway,3.5863,3,27.83,7,,4,40,1,2,41,42,43,44,3350,11350,list1_7325_getaway_low3
164,run5,1,13562,low1,list1_13562_prank_low1,prank,3.6036,1,45.75,5,,3,30,1,2,31,32,33,34,3450,11450,list1_13562_prank_low1
165,run5,1,19392,low1,list1_19392_womb_low1,womb,3.5423,1,12.67,4,,3,30,1,2,31,32,33,34,3300,11300,list1_19392_womb_low1
166,run5,1,6012,high3,list1_6012_evidence_high3,evidence,4.9289,3,38.57,8,,2,20,1,2,21,22,23,24,3450,11450,list1_6012_evidence_high3
167,run5,1,16018,low3,list1_16018_ancestor_low3,ancestor,3.231353395,3,41.43,8,"I only really know this word as part of ""Silicon Valley""...",4,40,1,2,41,42,43,44,3450,11450,list1_16018_silicon_low3
168,run5,1,14851,low1,list1_14851_rim_low1,rim,3.3922,1,5,3,,3,30,1,2,31,32,33,34,3400,11400,list1_14851_rim_low1
169,run5,1,2023,high1,list1_2023_brain_high1,brain,4.8861,1,42,5,,1,10,1,2,11,12,13,14,3350,11350,list1_2023_brain_high1
170,run5,1,7458,high1,list1_7458_goal_high1,goal,4.2238,1,20,4,,1,10,1,2,11,12,13,14,3350,11350,list1_7458_goal_high1
171,run5,1,17260,high1,list1_17260_surf_high1,surf,3.8037,1,15,4,,1,10,1,2,11,12,13,14,3400,11400,list1_17260_surf_high1
172,run5,1,3545,low3,list1_3545_collision_low3,collision,3.4317,3,112.75,9,,4,40,1,2,41,42,43,44,3500,11500,list1_3545_collision_low3
173,run5,1,5803,high3,list1_5803_engagement_high3,engagement,4.116,3,43.22,10,,2,20,1,2,21,22,23,24,3250,11250,list1_5803_engagement_high3
174,run5,1,9088,high3,list1_9088_interview_high3,interview,4.4697,3,84.13,9,,2,20,1,2,21,22,23,24,3200,11200,list1_9088_interview_high3
175,run5,1,5514,low1,list1_5514_dye_low1,dye,3.5885,1,3.5,3,,3,30,1,2,31,32,33,34,3250,11250,list1_5514_dye_low1
176,run5,1,13737,low3,list1_13737_processing_low3,processing,3.5796,3,172.22,10,,4,40,1,2,41,42,43,44,3350,11350,list1_13737_processing_low3
177,run5,1,5743,high3,list1_5743_empire_high3,empire,4.1027,3,24.6,6,,2,20,1,2,21,22,23,24,3250,11250,list1_5743_empire_high3
178,run5,1,9992,high1,list1_9992_lid_high1,lid,3.6932,1,6.5,3,,1,10,1,2,11,12,13,14,3300,11300,list1_9992_lid_high1
179,run5,1,4625,low3,list1_4625_deduction_low3,deduction,3.2363,3,112.75,9,,4,40,1,2,41,42,43,44,3300,11300,list1_4625_deduction_low3
