numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	
18723	18722	veil	70950	151	108	146	104	2.9608	2.1818	1.2876	2.0374	Noun	144	0.95364	3.4737	1	11.67	4	2	1	low	
19237	19236	whirl	72722	89	72	85	70	1.7451	1.9542	0.85837	1.8633	Noun	74	0.83146	3.2461	1	23.25	5	1	1	low	
14105	14104	quid	51755	161	75	146	67	3.1569	2.2095	0.89413	1.8808	Noun	161	1	3.5013	1	8.33	4	3	1	low	
17427	17426	tack	64700	108	73	90	67	2.1176	2.0374	0.87029	1.8692	Noun	60	0.55556	3.3293	1	30	4	15	1	low	
11708	11707	nerd	42966	168	99	144	92	3.2941	2.2279	1.1803	2	Noun	166	0.99401	3.5197	1	15.67	4	2	1	low	
6707	6706	flop	24932	118	91	117	90	2.3137	2.0755	1.0849	1.9638	Noun	87	0.73729	3.3674	1	18.33	4	7	1	low	
6660	6659	flaw	24743	155	130	154	129	3.0392	2.1931	1.5498	2.1173	Noun	155	1	3.485	1	16	4	9	1	low	
4257	4256	crumb	15475	92	63	64	60	1.8039	1.9685	0.75107	1.8062	Noun	92	1	3.2603	1	25	5	0	1	low	
12881	12880	perk	47368	72	63	58	55	1.4118	1.8633	0.75107	1.8062	Noun	46	0.63014	3.1552	1	18	4	7	1	low	
4163	4162	crest	15150	107	67	69	50	2.098	2.0334	0.79876	1.8325	Noun	97	0.90654	3.3253	1	37.5	5	5	1	low	
13284	13283	plum	48734	174	112	125	92	3.4118	2.243	1.3352	2.0531	Noun	162	0.93103	3.5349	1	12.33	4	5	1	low	
5616	5615	eel	20722	73	52	64	50	1.4314	1.8692	0.61993	1.7243	Noun	72	1	3.1611	1	1.5	3	1	1	low	
18439	18438	tux	68297	176	124	175	123	3.451	2.248	1.4783	2.0969	Noun	170	0.96591	3.5398	1	1.5	3	4	1	low	
14457	14456	reel	53181	166	110	137	100	3.2549	2.2227	1.3114	2.0453	Noun	101	0.60843	3.5146	1	23	4	8	1	low	
7395	7394	gland	27419	77	54	76	53	1.5098	1.8921	0.64378	1.7404	Noun	77	1	3.1839	1	37.75	5	3	1	low	
10654	10653	mart	39266	97	58	21	19	1.902	1.9912	0.69146	1.7709	Noun	49	0.51579	3.2831	1	36.33	4	13	1	low	
7801	7800	guild	28755	103	53	14	11	2.0196	2.017	0.63186	1.7324	Noun	100	0.97087	3.3089	1	24.5	5	3	1	low	
2200	2199	brunch	8148	189	107	180	102	3.7059	2.2788	1.2756	2.0334	Noun	139	0.73545	3.5706	1	38.6	6	2	1	low	
18609	18608	urn	70533	99	46	88	43	1.9412	2	0.5484	1.6721	Noun	88	0.88889	3.2918	1	1	3	0	1	low	
2096	2095	brew	7831	128	91	119	85	2.5098	2.1106	1.0849	1.9638	Noun	83	0.64844	3.4024	1	13	4	6	1	low	
16962	16961	strand	62810	94	64	52	45	1.8431	1.9777	0.76299	1.8129	Noun	54	0.57447	3.2696	1	51.8	6	0	1	low	
10322	10321	lug	38166	132	104	118	99	2.5882	2.1239	1.2399	2.0212	Noun	84	0.63636	3.4157	1	5.5	3	12	1	low	
19229	19228	whim	72682	119	96	117	96	2.3333	2.0792	1.1445	1.9868	Noun	119	1	3.371	1	11	4	5	1	low	
391	390	amp	1977	93	73	73	60	1.8235	1.9731	0.87029	1.8692	Noun	92	1	3.265	1	1.5	3	1	1	low	
4726	4725	dent	17272	180	125	131	112	3.5294	2.2577	1.4902	2.1004	Noun	149	0.82778	3.5495	1	24	4	14	1	low	
14798	14797	rhyme	54988	225	160	225	160	4.4118	2.3541	1.9075	2.2068	Noun	141	0.62946	3.6459	1	5.25	5	1	1	low	
9616	9615	lace	36068	189	136	144	117	3.7059	2.2788	1.6214	2.1367	Noun	174	0.92063	3.5706	1	23.33	4	13	1	low	
15832	15831	shin	58514	157	62	32	29	3.0784	2.1987	0.73915	1.7993	Noun	138	0.8961	3.4905	1	16.67	4	7	1	low	
19335	19334	wink	73144	180	119	136	110	3.5294	2.2577	1.4187	2.0792	Noun	103	0.56906	3.5495	1	32	4	11	1	low	
8362	8361	hitch	30613	208	170	168	152	4.0784	2.3201	2.0267	2.233	Noun	97	0.46635	3.612	1	31.75	5	6	1	low	
15333	15332	scalp	56749	188	141	177	135	3.6863	2.2765	1.681	2.1523	Noun	158	0.84492	3.5683	1	18.5	5	3	1	low	
18315	18314	troupe	67921	90	54	77	50	1.7647	1.959	0.64378	1.7404	Noun	79	0.87778	3.2509	1	35.8	6	0	1	low	
6611	6610	flake	24598	89	68	84	65	1.7451	1.9542	0.81068	1.8388	Noun	67	0.75281	3.2461	1	35.75	5	4	1	low	
16316	16315	snob	60367	111	86	103	82	2.1765	2.0492	1.0253	1.9395	Noun	94	0.86239	3.3411	1	6	4	5	1	low	
9289	9288	jinx	34903	204	105	112	90	4	2.3118	1.2518	2.0253	Noun	109	0.53431	3.6036	1	18	4	0	1	low	
10414	10413	mag	38506	78	58	45	37	1.5294	1.8976	0.69146	1.7709	Noun	76	0.97436	3.1895	1	11	3	22	1	low	
18988	18987	wage	71782	159	142	158	141	3.1176	2.2041	1.6929	2.1553	Noun	126	0.79245	3.496	1	20.67	4	11	1	low	
4202	4201	crock	15295	103	80	98	77	2.0196	2.017	0.95374	1.9085	Noun	102	0.99029	3.3089	1	43.5	5	6	1	low	
5514	5513	dye	20394	197	139	186	133	3.8627	2.2967	1.6571	2.1461	Noun	188	0.95431	3.5885	1	3.5	3	8	1	low	
6736	6735	fluke	25036	89	65	80	61	1.7451	1.9542	0.77492	1.8195	Noun	89	1	3.2461	1	25.25	5	2	1	low	
14942	14941	rogue	55444	190	114	123	103	3.7255	2.281	1.3591	2.0607	Noun	175	0.92105	3.5729	1	17.75	5	1	1	low	
17869	17868	tights	66363	135	78	129	76	2.6471	2.1335	0.9299	1.8976	Noun	135	1	3.4254	1	48.6	6	6	1	low	
17149	17148	suede	63552	92	53	88	51	1.8039	1.9685	0.63186	1.7324	Noun	92	1	3.2603	1	16.75	5	1	1	low	
15011	15010	rouge	55670	165	100	51	45	3.2353	2.2201	1.1922	2.0043	Noun	110	0.66265	3.5119	1	37	5	4	1	low	
18113	18112	tract	67153	73	56	71	54	1.4314	1.8692	0.66762	1.7559	Noun	70	0.9589	3.1611	1	41.75	5	3	1	low	
18980	18979	wad	71752	89	77	80	72	1.7451	1.9542	0.91798	1.8921	Noun	90	1	3.2461	1	9	3	17	1	low	
8686	8685	hymn	31726	83	62	63	49	1.6275	1.9243	0.73915	1.7993	Noun	82	1	3.2161	1	1.33	4	0	1	low	
6830	6829	fore	25359	135	96	78	60	2.6471	2.1335	1.1445	1.9868	Noun	61	0.45185	3.4254	1	32.33	4	15	1	low	
3386	3385	clot	12064	92	61	91	60	1.8039	1.9685	0.72723	1.7924	Noun	77	0.83696	3.2603	1	18	4	6	1	low	
12719	12718	pawn	46784	221	136	201	129	4.3333	2.3464	1.6214	2.1367	Noun	145	0.65909	3.6382	1	20	4	7	1	low	
9428	9427	keg	35422	175	99	159	96	3.4314	2.2455	1.1803	2	Noun	160	0.91429	3.5373	1	4	3	6	1	low	
14879	14878	rite	55260	74	59	63	50	1.451	1.8751	0.70339	1.7782	Noun	72	1	3.1669	1	21	4	12	1	low	
13276	13275	plow	48710	96	73	87	67	1.8824	1.9868	0.87029	1.8692	Noun	59	0.61458	3.2786	1	15.33	4	9	1	low	
7261	7260	gem	26931	126	90	74	69	2.4706	2.1038	1.073	1.959	Noun	126	1	3.3956	1	3.5	3	7	1	low	
13562	13561	prank	49630	204	152	199	151	4	2.3118	1.8121	2.1847	Noun	205	1	3.6036	1	45.75	5	4	1	low	
1760	1759	blur	6818	109	94	101	87	2.1373	2.0414	1.1206	1.9777	Noun	89	0.82407	3.3332	1	12.33	4	2	1	low	
8209	8208	heist	30048	160	100	142	92	3.1373	2.2068	1.1922	2.0043	Noun	154	0.96855	3.4987	1	24.25	5	1	1	low	
16706	16705	stag	61960	81	56	72	48	1.5882	1.9138	0.66762	1.7559	Noun	75	0.90361	3.2056	1	8.67	4	7	1	low	
2518	2517	calf	9040	151	108	132	100	2.9608	2.1818	1.2876	2.0374	Noun	150	0.99338	3.4737	1	22.33	4	3	1	low	
8631	8630	hump	31509	225	162	197	156	4.4118	2.3541	1.9313	2.2122	Noun	127	0.56696	3.6459	1	16	4	8	1	low	
18932	18931	vogue	71593	119	61	24	11	2.3333	2.0792	0.72723	1.7924	Noun	118	1	3.371	1	11.75	5	2	1	low	
2173	2172	bronze	8068	143	99	90	68	2.8039	2.1584	1.1803	2	Noun	142	0.99301	3.4502	1	35.4	6	0	1	low	
15754	15753	sham	58237	77	60	67	58	1.5098	1.8921	0.71531	1.7853	Noun	67	0.87013	3.1839	1	14.67	4	6	1	low	
17517	17516	tar	65016	160	100	132	87	3.1373	2.2068	1.1922	2.0043	Noun	134	0.8535	3.4987	1	8.5	3	16	1	low	
13961	13960	pup	51287	164	88	127	83	3.2157	2.2175	1.0491	1.9494	Noun	107	0.66049	3.5093	1	4.5	3	11	1	low	
250	249	ale	1486	202	123	183	115	3.9608	2.3075	1.4664	2.0934	Noun	202	1	3.5993	1	1.5	3	9	1	low	
13279	13278	ploy	48718	78	68	76	66	1.5294	1.8976	0.81068	1.8388	Noun	78	1	3.1895	1	12	4	4	1	low	
13930	13929	pulp	51173	93	82	74	66	1.8235	1.9731	0.97759	1.9191	Noun	85	0.93407	3.265	1	15	4	3	1	low	
16225	16224	sloth	59952	74	24	26	18	1.451	1.8751	0.28612	1.3979	Noun	74	1	3.1669	1	40	5	3	1	low	
13175	13174	plaid	48442	82	72	76	67	1.6078	1.9191	0.85837	1.8633	Noun	82	1	3.2109	1	35.5	5	2	1	low	
9577	9576	knot	35868	188	151	187	150	3.6863	2.2765	1.8002	2.1818	Noun	181	0.96277	3.5683	1	10.67	4	4	1	low	
3226	3225	chute	11489	184	116	181	115	3.6078	2.2672	1.3829	2.0682	Noun	174	0.97207	3.559	1	27.75	5	0	1	low	
15985	15984	siege	59061	118	91	113	87	2.3137	2.0755	1.0849	1.9638	Noun	119	1	3.3674	1	23.5	5	2	1	low	
15251	15250	sap	56458	178	132	171	128	3.4902	2.2529	1.5737	2.1239	Noun	162	0.90503	3.5447	1	9	3	19	1	low	
15114	15113	rye	56007	212	140	154	106	4.1569	2.3284	1.6691	2.1492	Noun	156	0.73585	3.6202	1	3.5	3	7	1	low	
17775	17774	thigh	65969	191	152	177	146	3.7451	2.2833	1.8121	2.1847	Noun	191	1	3.5751	1	21.5	5	0	1	low	
11159	11158	mist	41060	181	121	144	100	3.549	2.2601	1.4425	2.0864	Noun	173	0.9558	3.5519	1	25.33	4	8	1	low	
7520	7519	goof	27858	113	70	80	64	2.2157	2.0569	0.83453	1.8513	Noun	55	0.48673	3.3487	1	24.33	4	6	1	low	
6763	6762	foe	25136	94	76	91	75	1.8431	1.9777	0.90606	1.8865	Noun	92	1	3.2696	1	5.5	3	11	1	low	
694	693	ark	3101	199	82	46	42	3.902	2.301	0.97759	1.9191	Noun	186	0.93467	3.5929	1	3	3	5	1	low	
14525	14524	reign	53534	159	134	143	128	3.1176	2.2041	1.5975	2.1303	Noun	116	0.725	3.496	1	16.25	5	2	1	low	
11525	11524	muse	42255	98	58	91	55	1.9216	1.9956	0.69146	1.7709	Noun	93	0.91176	3.2875	1	19.33	4	7	1	low	
5192	5191	dome	19417	100	74	82	61	1.9608	2.0043	0.88221	1.8751	Noun	97	0.9798	3.2962	1	18.67	4	12	1	low	
13528	13527	pouch	49516	87	57	87	57	1.7059	1.9445	0.67954	1.7634	Noun	85	0.97701	3.2363	1	41.25	5	5	1	low	
18324	18323	truce	67941	220	150	176	130	4.3137	2.3444	1.7883	2.179	Noun	221	1	3.6362	1	29.25	5	3	1	low	
17830	17829	thud	66187	99	72	68	52	1.9412	2	0.85837	1.8633	Noun	80	0.81633	3.2918	1	8.67	4	2	1	low	
13943	13942	pun	51222	94	85	82	75	1.8431	1.9777	1.0134	1.9345	Noun	86	0.92473	3.2696	1	7.5	3	16	1	low	
1286	1285	batch	5065	212	188	208	186	4.1569	2.3284	2.2413	2.2765	Noun	210	0.99057	3.6202	1	45	5	9	1	low	
6609	6608	flair	24596	116	88	110	86	2.2745	2.0682	1.0491	1.9494	Noun	115	1	3.36	1	35.25	5	1	1	low	
18362	18361	tug	68097	140	79	82	69	2.7451	2.1492	0.94182	1.9031	Noun	85	0.61151	3.4411	1	6.5	3	12	1	low	
7432	7431	gloss	27566	74	65	74	65	1.451	1.8751	0.77492	1.8195	Noun	64	0.85333	3.1669	1	29.5	5	4	1	low	
18705	18704	vat	70894	76	57	69	52	1.4902	1.8865	0.67954	1.7634	Noun	75	1	3.1783	1	8	3	15	1	low	
7758	7757	grunt	28658	113	87	104	84	2.2157	2.0569	1.0372	1.9445	Noun	62	0.54867	3.3487	1	36.75	5	3	1	low	
17532	17531	tart	65061	122	93	96	79	2.3922	2.0899	1.1087	1.9731	Noun	107	0.86992	3.3817	1	33	4	12	1	low	
3214	3213	chump	11450	209	150	201	147	4.098	2.3222	1.7883	2.179	Noun	154	0.74038	3.6141	1	23.25	5	5	1	low	
15989	15988	sigh	59081	173	131	163	125	3.3922	2.2405	1.5618	2.1206	Noun	129	0.74566	3.5324	1	10.33	4	3	1	low	
10672	10671	mash	39326	224	150	68	60	4.3922	2.3522	1.7883	2.179	Noun	123	0.54911	3.644	1	30.33	4	15	1	low	
1342	1341	beak	5204	107	88	100	85	2.098	2.0334	1.0491	1.9494	Noun	108	1	3.3253	1	30.67	4	11	1	low	
8475	8474	hoof	30994	88	60	80	56	1.7255	1.9494	0.71531	1.7853	Noun	62	0.70455	3.2412	1	27.67	4	7	1	low	
6619	6618	flan	24625	86	11	39	10	1.6863	1.9395	0.13114	1.0792	Noun	86	1	3.2314	1	20.67	4	8	1	low	
7242	7241	gaze	26869	129	103	110	90	2.5294	2.1139	1.2279	2.017	Noun	126	0.97674	3.4058	1	12.67	4	10	1	low	
3736	3735	cone	13333	149	114	126	102	2.9216	2.1761	1.3591	2.0607	Noun	146	0.98649	3.4679	1	32.67	4	18	1	low	
14052	14051	quake	51575	82	48	47	35	1.6078	1.9191	0.57225	1.6902	Noun	81	0.9878	3.2109	1	16.25	5	0	1	low	
8590	8589	hub	31365	156	61	63	50	3.0588	2.1959	0.72723	1.7924	Noun	137	0.87821	3.4877	1	7	3	13	1	low	
7413	7412	glimpse	27490	171	162	171	162	3.3529	2.2355	1.9313	2.2122	Noun	162	0.94737	3.5274	1	30.83	7	0	1	low	
16201	16200	slime	59848	141	106	126	101	2.7647	2.1523	1.2637	2.0294	Noun	127	0.90071	3.4441	1	27.25	5	3	1	low	
1767	1766	boar	6846	111	60	93	55	2.1765	2.0492	0.71531	1.7853	Noun	111	1	3.3411	1	26.33	4	5	1	low	
16484	16483	spade	61046	118	57	55	38	2.3137	2.0755	0.67954	1.7634	Noun	92	0.78632	3.3674	1	28.5	5	5	1	low	
12744	12743	pea	46833	199	127	159	111	3.902	2.301	1.5141	2.1072	Noun	207	0.99043	3.5929	1	6.5	3	11	1	low	
15082	15081	rump	55907	72	64	68	62	1.4118	1.8633	0.76299	1.8129	Noun	72	1	3.1552	1	16.33	4	8	1	low	
4144	4143	creed	15096	129	51	51	37	2.5294	2.1139	0.60801	1.716	Noun	124	0.96124	3.4058	1	80.75	5	7	1	low	
8158	8157	hearse	29886	81	53	80	52	1.5882	1.9138	0.63186	1.7324	Noun	71	0.8875	3.2056	1	56.6	6	1	1	low	
5687	5686	elm	21054	73	47	16	15	1.4314	1.8692	0.56032	1.6812	Noun	51	0.70833	3.1611	1	2	3	2	1	low	
18725	18724	vein	70955	183	138	180	136	3.5882	2.2648	1.6452	2.143	Noun	184	1	3.5567	1	13	4	3	1	low	
1135	1134	ban	4622	160	84	125	71	3.1373	2.2068	1.0014	1.9294	Noun	83	0.51875	3.4987	1	8.5	3	18	1	low	
9292	9291	jive	34919	86	64	77	58	1.6863	1.9395	0.76299	1.8129	Noun	59	0.68605	3.2314	1	10	4	5	1	low	
12718	12717	paw	46781	159	112	150	107	3.1176	2.2041	1.3352	2.0531	Noun	118	0.74214	3.496	1	8.5	3	16	1	low	
6747	6746	flute	25078	108	71	100	65	2.1176	2.0374	0.84645	1.8573	Noun	108	1	3.3293	1	32.75	5	1	1	low	
16149	16148	slab	59634	94	66	72	63	1.8431	1.9777	0.78684	1.8261	Noun	94	1	3.2696	1	17	4	8	1	low	
14864	14863	rink	55195	109	58	85	52	2.1373	2.0414	0.69146	1.7709	Noun	104	0.95413	3.3332	1	30.67	4	11	1	low	
6758	6757	foam	25117	179	140	165	132	3.5098	2.2553	1.6691	2.1492	Noun	163	0.91061	3.5471	1	21	4	4	1	low	
11431	11430	mound	41872	77	47	77	47	1.5098	1.8921	0.56032	1.6812	Noun	77	1	3.1839	1	40	5	9	1	low	
13725	13724	probe	50319	225	134	209	127	4.4118	2.3541	1.5975	2.1303	Noun	166	0.73778	3.6459	1	28	5	3	1	low	
3473	3472	cod	12323	114	70	34	25	2.2353	2.0607	0.83453	1.8513	Noun	66	0.57895	3.3525	1	11	3	22	1	low	
13107	13106	pint	48243	167	122	159	116	3.2745	2.2253	1.4545	2.0899	Noun	167	1	3.5171	1	32.67	4	11	1	low	
4239	4238	crow	15409	227	132	156	107	4.451	2.3579	1.5737	2.1239	Noun	150	0.67873	3.6498	1	13	4	6	1	low	
18645	18644	vale	70703	75	19	5	5	1.4706	1.8808	0.22651	1.301	Noun	44	0.58667	3.1726	1	25.33	4	12	1	low	
5504	5503	dwarf	20369	157	93	126	83	3.0784	2.1987	1.1087	1.9731	Noun	153	0.97452	3.4905	1	21.5	5	0	1	low	
9738	9737	latch	36436	98	73	80	63	1.9216	1.9956	0.87029	1.8692	Noun	56	0.56566	3.2875	1	42.25	5	7	1	low	
4334	4333	curb	15755	209	173	200	165	4.098	2.3222	2.0625	2.2405	Noun	139	0.66507	3.6141	1	16.67	4	4	1	low	
10701	10700	mat	39422	178	139	166	135	3.4902	2.2529	1.6571	2.1461	Noun	174	0.98305	3.5447	1	11.5	3	22	1	low	
17032	17031	stroll	63023	211	186	206	182	4.1373	2.3263	2.2175	2.2718	Noun	140	0.66038	3.6182	1	44.2	6	1	1	low	
13551	13550	pox	49579	75	54	74	53	1.4706	1.8808	0.64378	1.7404	Noun	76	1	3.1726	1	4.5	3	8	1	low	
7176	7175	gap	26657	218	178	165	133	4.2745	2.3404	2.1221	2.2529	Noun	217	1	3.6323	1	9	3	16	1	low	
7211	7210	gasp	26765	88	60	82	55	1.7255	1.9494	0.71531	1.7853	Noun	45	0.50562	3.2412	1	20.67	4	3	1	low	
11394	11393	moth	41781	116	69	91	65	2.2745	2.0682	0.8226	1.8451	Noun	114	0.98276	3.36	1	17	4	5	1	low	
3421	3420	clutch	12160	127	82	118	78	2.4902	2.1072	0.97759	1.9191	Noun	100	0.7874	3.399	1	28.2	6	1	1	low	
14453	14452	reef	53172	204	79	151	62	4	2.3118	0.94182	1.9031	Noun	204	1	3.6036	1	22	4	4	1	low	
11869	11868	norm	43673	170	64	28	28	3.3333	2.233	0.76299	1.8129	Noun	160	0.94118	3.5248	1	20.33	4	3	1	low	
7584	7583	gram	28073	132	93	102	73	2.5882	2.1239	1.1087	1.9731	Noun	132	1	3.4157	1	19.33	4	7	1	low	
14311	14310	rave	52397	129	89	109	80	2.5294	2.1139	1.061	1.9542	Noun	91	0.70543	3.4058	1	20	4	14	1	low	
13189	13188	plank	48479	104	63	84	58	2.0392	2.0212	0.75107	1.8062	Noun	95	0.91346	3.313	1	40.75	5	8	1	low	
2053	2052	brawl	7700	108	88	106	86	2.1176	2.0374	1.0491	1.9494	Noun	96	0.8972	3.3293	1	34.5	5	4	1	low	
18762	18761	verge	71080	167	146	167	146	3.2745	2.2253	1.7406	2.1673	Noun	165	0.98802	3.5171	1	28.25	5	4	1	low	
17268	17267	surge	64043	94	70	91	68	1.8431	1.9777	0.83453	1.8513	Noun	87	0.92553	3.2696	1	28.25	5	2	1	low	
8689	8688	hype	31734	83	61	79	59	1.6275	1.9243	0.72723	1.7924	Noun	83	1	3.2161	1	6.67	4	2	1	low	
13916	13915	puff	51117	227	168	174	144	4.451	2.3579	2.0029	2.2279	Noun	187	0.82379	3.6498	1	11.33	4	6	1	low	
14236	14235	ramp	52145	147	101	139	98	2.8824	2.1703	1.2041	2.0086	Noun	147	1	3.4621	1	22	4	8	1	low	
3279	3278	clan	11716	209	125	154	106	4.098	2.3222	1.4902	2.1004	Noun	207	0.99519	3.6141	1	18	4	7	1	low	
2237	2236	buff	8279	127	98	102	87	2.4902	2.1072	1.1683	1.9956	Noun	69	0.53906	3.399	1	13.33	4	6	1	low	
7397	7396	glare	27423	82	72	80	71	1.6078	1.9191	0.85837	1.8633	Noun	62	0.7561	3.2109	1	44.75	5	4	1	low	
4480	4479	dane	16172	158	48	0	0	3.098	2.2014	0.57225	1.6902	Noun	158	1	3.4932	1	33.33	4	18	1	low	
1092	1091	bale	4528	104	23	71	18	2.0392	2.0212	0.2742	1.3802	Noun	87	0.83654	3.313	1	33	4	21	1	low	
16674	16673	squash	61801	223	162	201	150	4.3725	2.3502	1.9313	2.2122	Noun	130	0.58296	3.6421	1	19.2	6	0	1	low	
12483	12482	pang	46097	81	31	15	13	1.5882	1.9138	0.36958	1.5051	Noun	57	0.7037	3.2056	1	35.67	4	13	1	low	
7608	7607	grape	28163	204	137	163	116	4	2.3118	1.6333	2.1399	Noun	204	1	3.6036	1	39.75	5	8	1	low	
4839	4838	deuce	17772	146	84	82	62	2.8627	2.1673	1.0014	1.9294	Noun	92	0.63014	3.4592	1	20.5	5	0	1	low	
4096	4095	cramp	14925	143	109	128	104	2.8039	2.1584	1.2995	2.0414	Noun	97	0.67832	3.4502	1	43	5	3	1	low	
