numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
663	662	architect	2984	334	169	311	161	6.549	2.525	2.0148	2.2304	Noun	331	0.99399	3.8169	3	24.13	9	0	1	high	high3	2	20	1	2	21	22	23	24	
9778	9777	lavender	36552	104	64	65	44	2.0392	2.0212	0.76299	1.8129	Noun	94	0.90385	3.313	3	75.71	8	0	1	low	low3	4	40	1	2	41	42	43	44	
12297	12296	outsider	45239	121	97	117	93	2.3725	2.0864	1.1564	1.9912	Noun	121	1	3.3782	3	60.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
8810	8809	importance	32437	390	334	390	334	7.6471	2.5922	3.9819	2.525	Noun	391	1	3.884	3	49.56	10	0	1	high	high3	2	20	1	2	21	22	23	24	
13916	13915	puff	51117	227	168	174	144	4.451	2.3579	2.0029	2.2279	Noun	187	0.82379	3.6498	1	11.33	4	6	1	low	low1	3	30	1	2	31	32	33	34	
16540	16539	speed	61268	2104	1260	1824	1153	41.2549	3.3233	15.0215	3.1007	Noun	1675	0.798	4.6151	1	73.25	5	3	1	high	high1	1	10	1	2	11	12	13	14	
4339	4338	cure	15770	1063	627	1033	616	20.8431	3.0269	7.475	2.798	Noun	587	0.55221	4.3188	1	27.67	4	11	1	high	high1	1	10	1	2	11	12	13	14	
1286	1285	batch	5065	212	188	208	186	4.1569	2.3284	2.2413	2.2765	Noun	210	0.99057	3.6202	1	45	5	9	1	low	low1	3	30	1	2	31	32	33	34	
7185	7184	gardener	26684	214	141	208	135	4.1961	2.3324	1.681	2.1523	Noun	214	1	3.6243	3	91.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
2891	2890	cavity	10203	152	123	147	120	2.9804	2.1847	1.4664	2.0934	Noun	152	1	3.4765	3	53	6	0	1	low	low3	4	40	1	2	41	42	43	44	
686	685	argument	3064	867	702	857	698	17	2.9385	8.3691	2.847	Noun	867	1	4.2304	3	40	8	0	1	high	high3	2	20	1	2	21	22	23	24	
13939	13938	pump	51213	645	458	550	412	12.6471	2.8102	5.4602	2.6618	Noun	376	0.58567	4.1021	1	16.67	4	9	1	high	high1	1	10	1	2	11	12	13	14	
10839	10838	membership	39914	165	133	159	129	3.2353	2.2201	1.5856	2.1271	Noun	165	1	3.5119	3	30.44	10	0	1	low	low3	4	40	1	2	41	42	43	44	
15249	15248	sanity	56446	139	127	132	123	2.7255	2.1461	1.5141	2.1072	Noun	139	1	3.438	3	59.4	6	1	1	low	low3	4	40	1	2	41	42	43	44	
145	144	aggression	1183	143	109	134	105	2.8039	2.1584	1.2995	2.0414	Noun	143	1	3.4502	3	88.22	10	0	1	low	low3	4	40	1	2	41	42	43	44	
8201	8200	height	30029	476	396	446	377	9.3333	2.6785	4.721	2.5988	Noun	472	1	3.9704	1	24.6	6	1	1	high	high1	1	10	1	2	11	12	13	14	
12331	12330	overload	45495	91	70	84	66	1.7843	1.9638	0.83453	1.8513	Noun	59	0.64835	3.2556	3	35.57	8	1	1	low	low3	4	40	1	2	41	42	43	44	
4912	4911	dictator	18050	108	72	98	72	2.1176	2.0374	0.85837	1.8633	Noun	108	1	3.3293	3	50.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
19463	19462	wound	73604	1353	937	1316	926	26.5294	3.1316	11.1707	2.9722	Noun	866	0.64101	4.4235	1	33.5	5	8	1	high	high1	1	10	1	2	11	12	13	14	
11610	11609	nap	42539	645	487	626	481	12.6471	2.8102	5.8059	2.6884	Noun	611	0.94876	4.1021	1	7	3	13	1	high	high1	1	10	1	2	11	12	13	14	
8049	8048	harmony	29544	419	202	194	159	8.2157	2.6232	2.4082	2.3075	Noun	414	0.98807	3.9151	3	65.5	7	0	1	high	high3	2	20	1	2	21	22	23	24	
12141	12140	oppression	44690	76	63	75	63	1.4902	1.8865	0.75107	1.8062	Noun	76	1	3.1783	3	92.11	10	0	1	low	low3	4	40	1	2	41	42	43	44	
16638	16637	spree	61675	109	83	98	80	2.1373	2.0414	0.98951	1.9243	Noun	101	0.93519	3.3332	1	31.5	5	1	1	low	low1	3	30	1	2	31	32	33	34	
4759	4758	depression	17407	406	304	308	244	7.9608	2.6096	3.6242	2.4843	Noun	404	0.99753	3.9014	3	106.78	10	1	1	high	high3	2	20	1	2	21	22	23	24	
5345	5344	dread	19877	128	104	110	98	2.5098	2.1106	1.2399	2.0212	Noun	67	0.53175	3.4024	1	35	5	3	1	low	low1	3	30	1	2	31	32	33	34	
743	742	artery	3249	271	181	266	177	5.3137	2.4346	2.1578	2.2601	Noun	271	1	3.7264	3	48.6	6	0	1	high	high3	2	20	1	2	21	22	23	24	
18278	18277	trip	67775	4202	2366	4055	2343	82.3922	3.6236	28.207	3.3742	Noun	4125	0.98355	4.9154	1	14	4	5	1	high	high1	1	10	1	2	11	12	13	14	
17785	17784	thirst	66012	190	152	185	150	3.7255	2.281	1.8121	2.1847	Noun	167	0.87895	3.5729	1	36.2	6	0	1	low	low1	3	30	1	2	31	32	33	34	
10551	10550	manicure	38923	101	90	98	88	1.9804	2.0086	1.073	1.959	Noun	101	1	3.3004	3	50.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
2725	2724	carnival	9712	363	177	306	150	7.1176	2.5611	2.1102	2.2504	Noun	286	0.78788	3.8529	3	60.29	8	0	1	high	high3	2	20	1	2	21	22	23	24	
10046	10045	lime	37309	168	123	143	109	3.2941	2.2279	1.4664	2.0934	Noun	168	1	3.5197	1	18.67	4	12	1	low	low1	3	30	1	2	31	32	33	34	
3305	3304	claw	11819	223	137	163	123	4.3725	2.3502	1.6333	2.1399	Noun	156	0.69955	3.6421	1	13.33	4	6	1	low	low1	3	30	1	2	31	32	33	34	
2177	2176	brook	8083	104	70	70	48	2.0392	2.0212	0.83453	1.8513	Noun	61	0.59223	3.313	1	35.25	5	3	1	low	low1	3	30	1	2	31	32	33	34	
7674	7673	grief	28394	552	450	533	434	10.8235	2.7427	5.3648	2.6542	Noun	553	1	4.0346	1	38	5	1	1	high	high1	1	10	1	2	11	12	13	14	
1743	1742	blueberry	6761	131	88	91	65	2.5686	2.1206	1.0491	1.9494	Noun	125	0.9542	3.4124	3	33.25	9	0	1	low	low3	4	40	1	2	41	42	43	44	
6849	6848	forensics	25412	192	147	124	97	3.7647	2.2856	1.7525	2.1703	Noun	174	0.91099	3.5774	3	64.63	9	0	1	low	low3	4	40	1	2	41	42	43	44	
17722	17721	text	65747	267	199	251	186	5.2353	2.4281	2.3724	2.301	Noun	267	1	3.72	1	7.67	4	4	1	high	high1	1	10	1	2	11	12	13	14	
8652	8651	hurricane	31591	447	178	370	151	8.7647	2.6513	2.1221	2.2529	Noun	445	1	3.9431	3	48.38	9	0	1	high	high3	2	20	1	2	21	22	23	24	
19335	19334	wink	73144	180	119	136	110	3.5294	2.2577	1.4187	2.0792	Noun	103	0.56906	3.5495	1	32	4	11	1	low	low1	3	30	1	2	31	32	33	34	
19380	19379	woe	73330	119	86	76	56	2.3333	2.0792	1.0253	1.9395	Noun	117	1	3.371	1	6	3	11	1	low	low1	3	30	1	2	31	32	33	34	
9292	9291	jive	34919	86	64	77	58	1.6863	1.9395	0.76299	1.8129	Noun	59	0.68605	3.2314	1	10	4	5	1	low	low1	3	30	1	2	31	32	33	34	
15442	15441	scorpion	57105	136	55	86	39	2.6667	2.1367	0.6557	1.7482	Noun	136	1	3.4286	3	52.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
1092	1091	bale	4528	104	23	71	18	2.0392	2.0212	0.2742	1.3802	Noun	87	0.83654	3.313	1	33	4	21	1	low	low1	3	30	1	2	31	32	33	34	
303	302	allowance	1659	265	191	256	189	5.1961	2.4249	2.2771	2.2833	Noun	265	0.99624	3.7167	3	39.75	9	0	1	high	high3	2	20	1	2	21	22	23	24	
18707	18706	vault	70901	614	237	588	231	12.0392	2.7889	2.8255	2.3766	Noun	595	0.97064	4.0807	1	14.25	5	1	1	high	high1	1	10	1	2	11	12	13	14	
12344	12343	overtime	45657	318	261	306	251	6.2353	2.5038	3.1116	2.4183	Noun	178	0.55975	3.7956	3	75.43	8	0	1	high	high3	2	20	1	2	21	22	23	24	
2212	2211	brute	8187	162	133	142	119	3.1765	2.2122	1.5856	2.1271	Noun	162	1	3.504	1	29.25	5	0	1	low	low1	3	30	1	2	31	32	33	34	
9738	9737	latch	36436	98	73	80	63	1.9216	1.9956	0.87029	1.8692	Noun	56	0.56566	3.2875	1	42.25	5	7	1	low	low1	3	30	1	2	31	32	33	34	
14674	14673	resident	54363	374	242	285	207	7.3333	2.574	2.8851	2.3856	Noun	252	0.6738	3.8659	3	84	8	0	1	high	high3	2	20	1	2	21	22	23	24	
9321	9320	journalist	35038	311	185	287	176	6.098	2.4942	2.2055	2.2695	Noun	310	0.99678	3.786	3	41	10	1	1	high	high3	2	20	1	2	21	22	23	24	
3213	3212	chum	11447	156	94	132	91	3.0588	2.1959	1.1206	1.9777	Noun	151	0.96795	3.4877	1	10.33	4	2	1	low	low1	3	30	1	2	31	32	33	34	
19066	19065	warmth	72028	227	199	218	192	4.451	2.3579	2.3724	2.301	Noun	223	0.98673	3.6498	1	45.8	6	0	1	low	low1	3	30	1	2	31	32	33	34	
14258	14257	rank	52210	433	325	416	314	8.4902	2.6375	3.8746	2.5132	Noun	376	0.86836	3.9293	1	32.33	4	13	1	high	high1	1	10	1	2	11	12	13	14	
10103	10102	lip	37436	548	434	517	418	10.7451	2.7396	5.1741	2.6385	Noun	538	0.98716	4.0314	1	7.5	3	15	1	high	high1	1	10	1	2	11	12	13	14	
2085	2084	breed	7805	323	248	300	244	6.3333	2.5105	2.9566	2.3962	Noun	174	0.5387	3.8024	1	77.25	5	5	1	high	high1	1	10	1	2	11	12	13	14	
1342	1341	beak	5204	107	88	100	85	2.098	2.0334	1.0491	1.9494	Noun	108	1	3.3253	1	30.67	4	11	1	low	low1	3	30	1	2	31	32	33	34	
7235	7234	gauze	26843	73	56	63	51	1.4314	1.8692	0.66762	1.7559	Noun	54	0.73973	3.1611	1	14.25	5	2	1	low	low1	3	30	1	2	31	32	33	34	
8455	8454	honesty	30924	368	298	317	267	7.2157	2.567	3.5527	2.4757	Noun	365	0.99455	3.8589	3	44	7	0	1	high	high3	2	20	1	2	21	22	23	24	
10346	10345	lunatic	38229	433	345	414	335	8.4902	2.6375	4.113	2.5391	Noun	368	0.84988	3.9293	3	42.83	7	0	1	high	high3	2	20	1	2	21	22	23	24	
15387	15386	schmuck	56947	234	168	194	145	4.5882	2.3711	2.0029	2.2279	Noun	150	0.64103	3.6629	1	18	7	0	1	high	high1	1	10	1	2	11	12	13	14	
18806	18805	vibration	71221	80	57	77	56	1.5686	1.9085	0.67954	1.7634	Noun	80	1	3.2003	3	107.63	9	0	1	low	low3	4	40	1	2	41	42	43	44	
2105	2104	brick	7853	519	255	365	232	10.1765	2.716	3.0401	2.4082	Noun	494	0.95183	4.0078	1	43.5	5	5	1	high	high1	1	10	1	2	11	12	13	14	
19472	19471	wrath	73636	199	148	163	130	3.902	2.301	1.7644	2.1732	Noun	199	1	3.5929	1	40.5	5	0	1	low	low1	3	30	1	2	31	32	33	34	
14505	14504	regiment	53427	247	111	211	95	4.8431	2.3945	1.3233	2.0492	Noun	244	0.98785	3.6863	3	72.43	8	0	1	high	high3	2	20	1	2	21	22	23	24	
15587	15586	seed	57600	386	278	371	272	7.5686	2.5877	3.3143	2.4456	Noun	360	0.93506	3.8795	1	33.67	4	18	1	high	high1	1	10	1	2	11	12	13	14	
2643	2642	capital	9421	648	491	574	443	12.7059	2.8122	5.8536	2.692	Noun	637	0.98151	4.1041	3	51	7	0	1	high	high3	2	20	1	2	21	22	23	24	
10369	10368	luxury	38324	307	272	298	267	6.0196	2.4886	3.2427	2.4362	Noun	203	0.6634	3.7804	3	20	6	0	1	high	high3	2	20	1	2	21	22	23	24	
5774	5773	encounter	21435	284	251	276	246	5.5686	2.4548	2.9924	2.4014	Noun	187	0.65845	3.7467	3	79.88	9	0	1	high	high3	2	20	1	2	21	22	23	24	
8068	8067	haste	29628	106	79	103	77	2.0784	2.0294	0.94182	1.9031	Noun	96	0.88889	3.3212	1	37	5	6	1	low	low1	3	30	1	2	31	32	33	34	
8975	8974	ink	33377	382	276	360	267	7.4902	2.5832	3.2904	2.4425	Noun	375	0.98425	3.875	1	1.5	3	2	1	high	high1	1	10	1	2	11	12	13	14	
